Target,Create_Date,Text,Compound,Positive,Negative,Neutral,Text_Cnt
@BBC,Fri Oct 05 00:37:29 +0000 2018,"RT @BBC: This is how homophobia feels in 2018. 
#NationalPoetryDay https://t.co/Dk2F3dDLPl",0.0,0.0,0.0,1.0,0
@BBC,Fri Oct 05 00:37:27 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,1
@BBC,Fri Oct 05 00:37:19 +0000 2018,RT @RealRapman: BBC 1 news @bbc #shirosstory 🙏🏾 https://t.co/kRgJn4MVqc,0.0,0.0,0.0,1.0,2
@BBC,Fri Oct 05 00:37:18 +0000 2018,"RT @BTS__Europe: Now officialy on the @BBC schedule page - @BTS_twt performing on the The Graham Norton Show 

📅 Next Friday - 12.10
⏰ 23:3…",0.0,0.0,0.0,1.0,3
@BBC,Fri Oct 05 00:37:17 +0000 2018,"RT @BTS__Europe: Now officialy on the @BBC schedule page - @BTS_twt performing on the The Graham Norton Show 

📅 Next Friday - 12.10
⏰ 23:3…",0.0,0.0,0.0,1.0,4
@BBC,Fri Oct 05 00:37:14 +0000 2018,"RT @BTS__Europe: Now officialy on the @BBC schedule page - @BTS_twt performing on the The Graham Norton Show 

📅 Next Friday - 12.10
⏰ 23:3…",0.0,0.0,0.0,1.0,5
@BBC,Fri Oct 05 00:37:11 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,6
@BBC,Fri Oct 05 00:37:06 +0000 2018,"RT @BTS__Europe: Now officialy on the @BBC schedule page - @BTS_twt performing on the The Graham Norton Show 

📅 Next Friday - 12.10
⏰ 23:3…",0.0,0.0,0.0,1.0,7
@BBC,Fri Oct 05 00:37:04 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,8
@BBC,Fri Oct 05 00:36:56 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,9
@BBC,Fri Oct 05 00:36:45 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,10
@BBC,Fri Oct 05 00:36:42 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,11
@BBC,Fri Oct 05 00:36:35 +0000 2018,"RT @BTS__Europe: Now officialy on the @BBC schedule page - @BTS_twt performing on the The Graham Norton Show 

📅 Next Friday - 12.10
⏰ 23:3…",0.0,0.0,0.0,1.0,12
@BBC,Fri Oct 05 00:36:34 +0000 2018,@judithnwana @ndyLiv1 @BBC @CNN @PENamerican @UNHumanRights When they feed on the blood of the innocent they don't… https://t.co/GUeElfDGH7,0.34,0.124,0.0,0.876,13
@BBC,Fri Oct 05 00:36:33 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,14
@BBC,Fri Oct 05 00:36:32 +0000 2018,"RT @BTS__Europe: Now officialy on the @BBC schedule page - @BTS_twt performing on the The Graham Norton Show 

📅 Next Friday - 12.10
⏰ 23:3…",0.0,0.0,0.0,1.0,15
@BBC,Fri Oct 05 00:36:28 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,16
@BBC,Fri Oct 05 00:36:26 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,17
@BBC,Fri Oct 05 00:36:24 +0000 2018,"RT @BTS__Europe: Now officialy on the @BBC schedule page - @BTS_twt performing on the The Graham Norton Show 

📅 Next Friday - 12.10
⏰ 23:3…",0.0,0.0,0.0,1.0,18
@BBC,Fri Oct 05 00:36:21 +0000 2018,"RT @BTS__Europe: Now officialy on the @BBC schedule page - @BTS_twt performing on the The Graham Norton Show 

📅 Next Friday - 12.10
⏰ 23:3…",0.0,0.0,0.0,1.0,19
@BBC,Fri Oct 05 00:36:20 +0000 2018,"RT @BTS__Europe: Now officialy on the @BBC schedule page - @BTS_twt performing on the The Graham Norton Show 

📅 Next Friday - 12.10
⏰ 23:3…",0.0,0.0,0.0,1.0,20
@BBC,Fri Oct 05 00:36:13 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,21
@BBC,Fri Oct 05 00:36:12 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,22
@BBC,Fri Oct 05 00:36:02 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,23
@BBC,Fri Oct 05 00:36:01 +0000 2018,@RealRapman @BBC @RealRapman I’m so happy for you. You deserve everything coming to you and keep doing what you’re doing!! 💫 💖,0.745,0.219,0.0,0.781,24
@BBC,Fri Oct 05 00:36:01 +0000 2018,"RT @BTS__Europe: Now officialy on the @BBC schedule page - @BTS_twt performing on the The Graham Norton Show 

📅 Next Friday - 12.10
⏰ 23:3…",0.0,0.0,0.0,1.0,25
@BBC,Fri Oct 05 00:35:59 +0000 2018,"RT @BTS__Europe: Now officialy on the @BBC schedule page - @BTS_twt performing on the The Graham Norton Show 

📅 Next Friday - 12.10
⏰ 23:3…",0.0,0.0,0.0,1.0,26
@BBC,Fri Oct 05 00:35:56 +0000 2018,"RT @BTS__Europe: Now officialy on the @BBC schedule page - @BTS_twt performing on the The Graham Norton Show 

📅 Next Friday - 12.10
⏰ 23:3…",0.0,0.0,0.0,1.0,27
@BBC,Fri Oct 05 00:35:56 +0000 2018,"RT @BTS__Europe: Now officialy on the @BBC schedule page - @BTS_twt performing on the The Graham Norton Show 

📅 Next Friday - 12.10
⏰ 23:3…",0.0,0.0,0.0,1.0,28
@BBC,Fri Oct 05 00:35:55 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,29
@BBC,Fri Oct 05 00:35:53 +0000 2018,RT @RealRapman: BBC 1 news @bbc #shirosstory 🙏🏾 https://t.co/kRgJn4MVqc,0.0,0.0,0.0,1.0,30
@BBC,Fri Oct 05 00:35:52 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,31
@BBC,Fri Oct 05 00:35:40 +0000 2018,"RT @oceana: Greenland sharks are now the longest-living vertebrates known on Earth, scientists say. But how old are they? via @BBC https://…",0.0,0.0,0.0,1.0,32
@BBC,Fri Oct 05 00:35:36 +0000 2018,RT @RealRapman: BBC 1 news @bbc #shirosstory 🙏🏾 https://t.co/kRgJn4MVqc,0.0,0.0,0.0,1.0,33
@BBC,Fri Oct 05 00:35:30 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,34
@BBC,Fri Oct 05 00:35:26 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,35
@BBC,Fri Oct 05 00:35:15 +0000 2018,"RT @BTS__Europe: Now officialy on the @BBC schedule page - @BTS_twt performing on the The Graham Norton Show 

📅 Next Friday - 12.10
⏰ 23:3…",0.0,0.0,0.0,1.0,36
@BBC,Fri Oct 05 00:35:15 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,37
@BBC,Fri Oct 05 00:35:10 +0000 2018,"RT @BTS__Europe: Now officialy on the @BBC schedule page - @BTS_twt performing on the The Graham Norton Show 

📅 Next Friday - 12.10
⏰ 23:3…",0.0,0.0,0.0,1.0,38
@BBC,Fri Oct 05 00:35:07 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,39
@BBC,Fri Oct 05 00:34:54 +0000 2018,RT @RealRapman: BBC 1 news @bbc #shirosstory 🙏🏾 https://t.co/kRgJn4MVqc,0.0,0.0,0.0,1.0,40
@BBC,Fri Oct 05 00:34:52 +0000 2018,"RT @oceana: Greenland sharks are now the longest-living vertebrates known on Earth, scientists say. But how old are they? via @BBC https://…",0.0,0.0,0.0,1.0,41
@BBC,Fri Oct 05 00:34:51 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,42
@BBC,Fri Oct 05 00:34:49 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,43
@BBC,Fri Oct 05 00:34:44 +0000 2018,"RT @BTS__Europe: Now officialy on the @BBC schedule page - @BTS_twt performing on the The Graham Norton Show 

📅 Next Friday - 12.10
⏰ 23:3…",0.0,0.0,0.0,1.0,44
@BBC,Fri Oct 05 00:34:23 +0000 2018,RT @RealRapman: BBC 1 news @bbc #shirosstory 🙏🏾 https://t.co/kRgJn4MVqc,0.0,0.0,0.0,1.0,45
@BBC,Fri Oct 05 00:34:22 +0000 2018,"RT @BTS__Europe: Now officialy on the @BBC schedule page - @BTS_twt performing on the The Graham Norton Show 

📅 Next Friday - 12.10
⏰ 23:3…",0.0,0.0,0.0,1.0,46
@BBC,Fri Oct 05 00:34:06 +0000 2018,"RT @BTS__Europe: Now officialy on the @BBC schedule page - @BTS_twt performing on the The Graham Norton Show 

📅 Next Friday - 12.10
⏰ 23:3…",0.0,0.0,0.0,1.0,47
@BBC,Fri Oct 05 00:34:06 +0000 2018,@oceana @BBC WOW,0.6739,0.694,0.0,0.306,48
@BBC,Fri Oct 05 00:34:01 +0000 2018,"RT @BTS__Europe: Now officialy on the @BBC schedule page - @BTS_twt performing on the The Graham Norton Show 

📅 Next Friday - 12.10
⏰ 23:3…",0.0,0.0,0.0,1.0,49
@BBC,Fri Oct 05 00:34:01 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,50
@BBC,Fri Oct 05 00:33:59 +0000 2018,"RT @BTS__Europe: Now officialy on the @BBC schedule page - @BTS_twt performing on the The Graham Norton Show 

📅 Next Friday - 12.10
⏰ 23:3…",0.0,0.0,0.0,1.0,51
@BBC,Fri Oct 05 00:33:57 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,52
@BBC,Fri Oct 05 00:33:56 +0000 2018,RT @RealRapman: BBC 1 news @bbc #shirosstory 🙏🏾 https://t.co/kRgJn4MVqc,0.0,0.0,0.0,1.0,53
@BBC,Fri Oct 05 00:33:51 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,54
@BBC,Fri Oct 05 00:33:46 +0000 2018,"RT @BBC: This is how homophobia feels in 2018. 
#NationalPoetryDay https://t.co/Dk2F3dDLPl",0.0,0.0,0.0,1.0,55
@BBC,Fri Oct 05 00:33:37 +0000 2018,"RT @BBC: 🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they become so succ…",0.0,0.0,0.0,1.0,56
